Movie Name,Rating,Year,Duration (min),Actors,Genre
Sooryavanshi,6.8,2021.0,145.0,"Akshay Kumar, Katrina Kaif","Action, Drama"
Bhediya,7.2,2022.0,156.0,"Varun Dhawan, Kriti Sanon","Horror, Comedy"
Vikram Vedha,7.7,2022.0,160.0,"Hrithik Roshan, Saif Ali Khan","Action, Thriller"
Darlings,7.6,2022.0,133.0,"Alia Bhatt, Shefali Shah",Dark Comedy
Atrangi Re,6.7,2021.0,138.0,"Akshay Kumar, Sara Ali Khan","Romance, Drama"
Radhe Shyam,5.3,2022.0,138.0,"Prabhas, Pooja Hegde","Romance, Drama"
Chhichhore,8.3,2019.0,143.0,"Sushant Singh Rajput, Shraddha Kapoor","Comedy, Drama"
War,6.5,2019.0,154.0,"Hrithik Roshan, Tiger Shroff","Action, Thriller"
Kalank,4.5,2019.0,166.0,"Alia Bhatt, Varun Dhawan","Romance, Drama"
Gully Boy,8.0,2019.0,153.0,"Ranveer Singh, Alia Bhatt","Drama, Music"
Kabir Singh,7.1,2019.0,172.0,"Shahid Kapoor, Kiara Advani","Romance, Drama"
Sanju,7.6,2018.0,161.0,"Ranbir Kapoor, Sonam Kapoor","Biography, Drama"
Andhadhun,8.2,2018.0,139.0,"Ayushmann Khurrana, Tabu","Thriller, Mystery"
Stree,7.6,2018.0,128.0,"Rajkummar Rao, Shraddha Kapoor","Horror, Comedy"
Raazi,7.8,2018.0,138.0,"Alia Bhatt, Vicky Kaushal","Thriller, Drama"
Padmaavat,7.0,2018.0,164.0,"Deepika Padukone, Ranveer Singh",Historical Drama
Secret Superstar,8.0,2017.0,150.0,"Zaira Wasim, Aamir Khan","Drama, Music"
Dangal,8.4,2016.0,161.0,"Aamir Khan, Fatima Sana Shaikh","Biography, Drama"
Bajrangi Bhaijaan,8.0,2015.0,163.0,"Salman Khan, Kareena Kapoor","Drama, Comedy"
PK,8.1,2014.0,153.0,"Aamir Khan, Anushka Sharma","Comedy, Drama"
Queen,8.2,2013.0,146.0,"Kangana Ranaut, Rajkummar Rao","Comedy, Drama"
Chennai Express,6.1,2013.0,141.0,"Shah Rukh Khan, Deepika Padukone","Comedy, Romance"
Himmatwala,2.1,2013.0,150.0,"Ajay Devgn, Tamannaah","Action, Comedy"
Humshakals,1.9,2014.0,159.0,"Saif Ali Khan, Riteish Deshmukh",Comedy
Ram Gopal Varma Ki Aag,1.7,2007.0,174.0,"Amitabh Bachchan, Ajay Devgn","Drama, Action"
Tees Maar Khan,2.5,2010.0,138.0,"Akshay Kumar, Katrina Kaif","Comedy, Heist"
Joker,2.6,2012.0,103.0,"Akshay Kumar, Sonakshi Sinha","Comedy, Sci-Fi"
Love Story 2050,2.6,2008.0,180.0,"Harman Baweja, Priyanka Chopra","Sci-Fi, Romance"
Kya Kool Hain Hum 3,1.6,2016.0,124.0,"Tusshar Kapoor, Aftab Shivdasani","Comedy, Adult"
Mastizaade,2.0,2016.0,119.0,"Sunny Leone, Tusshar Kapoor","Comedy, Adult"
Deshdrohi,1.3,2008.0,112.0,"Kamaal R. Khan, Gracy Singh","Drama, Thriller"
Aap Kaa Surroor,2.0,2007.0,126.0,"Himesh Reshammiya, Hansika Motwani","Musical, Romance"
The Legend of Michael Mishra,2.8,2016.0,125.0,"Arshad Warsi, Aditi Rao Hydari","Comedy, Drama"
Karzzzz,3.5,2008.0,142.0,"Himesh Reshammiya, Urmila Matondkar","Thriller, Musical"
Action Replayy,4.0,2010.0,140.0,"Akshay Kumar, Aishwarya Rai","Romance, Sci-Fi"
Game,4.0,2011.0,135.0,"Abhishek Bachchan, Kangana Ranaut",Thriller
Raabta,4.7,2017.0,147.0,"Sushant Singh Rajput, Kriti Sanon","Romance, Fantasy"
Bombay Velvet,4.4,2015.0,149.0,"Ranbir Kapoor, Anushka Sharma","Drama, Crime"
Gunday,4.7,2014.0,152.0,"Ranveer Singh, Arjun Kapoor","Action, Drama"
Pagalpanti,3.1,2019.0,149.0,"John Abraham, Anil Kapoor","Comedy, Action"
Total Dhamaal,4.2,2019.0,127.0,"Ajay Devgn, Madhuri Dixit","Comedy, Adventure"
Besharam,3.6,2013.0,143.0,"Ranbir Kapoor, Pallavi Sharda","Comedy, Action"
Sairat,8.3,2016.0,174.0,"Akash Thosar, Rinku Rajguru","Romance, Drama"
Natsamrat,9.1,2016.0,166.0,"Nana Patekar, Medha Manjrekar",Drama
Katyar Kaljat Ghusali,8.6,2015.0,162.0,"Sachin Pilgaonkar, Subodh Bhave","Musical, Drama"
Fandry,8.3,2013.0,103.0,"Somnath Awghade, Kishor Kadam",Drama
Duniyadari,7.6,2013.0,148.0,"Swapnil Joshi, Sai Tamhankar","Romance, Drama"
Timepass,7.0,2014.0,140.0,"Prathamesh Parab, Ketaki Mategaonkar","Comedy, Romance"
Shwaas,8.4,2004.0,107.0,"Arun Nalawade, Ashwin Chitale",Drama
Harishchandrachi Factory,8.4,2009.0,96.0,"Nandu Madhav, Vibhavari Deshpande","Biography, Drama"
Balak Palak,7.9,2013.0,109.0,"Shashwati Pimplikar, Prathamesh Parab","Comedy, Drama"
Court,7.8,2014.0,116.0,"Vira Sathidar, Geetanjali Kulkarni",Drama
Natarang,8.3,2010.0,137.0,"Atul Kulkarni, Sonalee Kulkarni","Musical, Drama"
Yellow,8.2,2014.0,130.0,"Gauri Gadgil, Hrishikesh Joshi","Drama, Family"
Lai Bhaari,6.8,2014.0,155.0,"Riteish Deshmukh, Radhika Apte","Action, Drama"
Deool,8.2,2011.0,148.0,"Nana Patekar, Dilip Prabhavalkar","Comedy, Drama"
Ventilator,7.8,2016.0,130.0,"Ashutosh Gowariker, Jitendra Joshi","Comedy, Drama"
Sairat,8.3,2016.0,174.0,"Akash Thosar, Rinku Rajguru","Romance, Drama"
Natsamrat,9.1,2016.0,166.0,"Nana Patekar, Medha Manjrekar",Drama
Katyar Kaljat Ghusali,8.6,2015.0,162.0,"Sachin Pilgaonkar, Subodh Bhave","Musical, Drama"
Fandry,8.3,2013.0,103.0,"Somnath Awghade, Kishor Kadam",Drama
Duniyadari,7.6,2013.0,148.0,"Swapnil Joshi, Sai Tamhankar","Romance, Drama"
Timepass,7.0,2014.0,140.0,"Prathamesh Parab, Ketaki Mategaonkar","Comedy, Romance"
Shwaas,8.4,2004.0,107.0,"Arun Nalawade, Ashwin Chitale",Drama
Harishchandrachi Factory,8.4,2009.0,96.0,"Nandu Madhav, Vibhavari Deshpande","Biography, Drama"
Balak Palak,7.9,2013.0,109.0,"Shashwati Pimplikar, Prathamesh Parab","Comedy, Drama"
Court,7.8,2014.0,116.0,"Vira Sathidar, Geetanjali Kulkarni",Drama
Natarang,8.3,2010.0,137.0,"Atul Kulkarni, Sonalee Kulkarni","Musical, Drama"
Yellow,8.2,2014.0,130.0,"Gauri Gadgil, Hrishikesh Joshi","Drama, Family"
Lai Bhaari,6.8,2014.0,155.0,"Riteish Deshmukh, Radhika Apte","Action, Drama"
Deool,8.2,2011.0,148.0,"Nana Patekar, Dilip Prabhavalkar","Comedy, Drama"
Ventilator,7.8,2016.0,130.0,"Ashutosh Gowariker, Jitendra Joshi","Comedy, Drama"
Half Ticket,7.5,2016.0,112.0,"Shubham More, Vinayak Potdar",Drama
Muramba,7.9,2017.0,137.0,"Mithila Palkar, Amey Wagh","Drama, Romance"
Chi Va Chi Sau Ka,7.2,2017.0,150.0,"Lalit Prabhakar, Mrinmayee Godbole","Romance, Comedy"
Faster Fene,7.7,2017.0,130.0,"Amey Wagh, Parna Pethe","Thriller, Mystery"
Aamhi Doghi,7.5,2018.0,126.0,"Mukta Barve, Priya Bapat","Drama, Family"
Eternal Melody,10.0,2023.0,145.0,"Ranveer Singh, Alia Bhatt","Romance, Drama"
Legends United,10.0,2022.0,150.0,"Amitabh Bachchan, Shah Rukh Khan","Action, Drama"
Stardust Dreams,10.0,2021.0,132.0,"Deepika Padukone, Hrithik Roshan","Drama, Fantasy"
The Rising Star,10.0,2023.0,155.0,"Kartik Aaryan, Kiara Advani","Musical, Drama"
Love Beyond Time,10.0,2022.0,140.0,"Ayushmann Khurrana, Yami Gautam","Romance, Sci-Fi"
The Great Heist,10.0,2023.0,160.0,"Akshay Kumar, Katrina Kaif","Action, Thriller"
Kingdom of Hearts,10.0,2021.0,170.0,"Ranbir Kapoor, Shraddha Kapoor","Fantasy, Romance"
War of Legends,10.0,2022.0,180.0,"Hrithik Roshan, Tiger Shroff","Action, War"
The Final Note,10.0,2023.0,148.0,"Priyanka Chopra, Farhan Akhtar","Musical, Drama"
Whispers of the Wind,10.0,2020.0,138.0,"Kangana Ranaut, Rajkummar Rao","Mystery, Thriller"
Swarajya,10.0,2023.0,155.0,"Subodh Bhave, Amruta Khanvilkar",Historical Drama
Bhavishyachi Lek,10.0,2022.0,140.0,"Prarthana Behere, Siddharth Jadhav","Sci-Fi, Drama"
Anandvan,10.0,2023.0,148.0,"Swapnil Joshi, Sonalee Kulkarni","Drama, Family"
Shodh,10.0,2021.0,132.0,"Upendra Limaye, Tejaswini Pandit","Thriller, Drama"
Jeevanchya Gani,10.0,2022.0,145.0,"Sumeet Raghavan, Mukta Barve","Musical, Drama"
Apurva,10.0,2023.0,150.0,"Spruha Joshi, Lalit Prabhakar","Romance, Comedy"
Devyani,10.0,2021.0,138.0,"Priya Bapat, Umesh Kamat","Drama, Thriller"
Shree Ganesh,10.0,2022.0,170.0,"Ashok Saraf, Sachin Pilgaonkar",Mythological
Chitranagari,10.0,2023.0,160.0,"Amey Wagh, Parna Pethe","Comedy, Drama"
Premacha Gaon,10.0,2023.0,125.0,"Rinku Rajguru, Akash Thosar","Romance, Drama"
Baliraja,10.0,2022.0,145.0,"Kishor Kadam, Sayaji Shinde",Social Drama
Shevatcha Diwas,10.0,2020.0,143.0,"Mohan Joshi, Vandana Gupte","Drama, Family"
Zunj,10.0,2021.0,152.0,"Milind Gunaji, Sai Tamhankar","Action, Drama"
MeghMalhar,10.0,2022.0,135.0,"Swapnil Joshi, Mukta Barve","Romance, Drama"
Tejomay,10.0,2023.0,140.0,"Shreyas Talpade, Sai Lokur",Biographical
Usha,10.0,2021.0,150.0,"Bhagyashree Milind, Nagraj Manjule",Drama
Saptasur,10.0,2022.0,160.0,"Sachin Pilgaonkar, Sonali Kulkarni",Musical
Yoddha,10.0,2023.0,180.0,"Atul Kulkarni, Sai Tamhankar",Historical Drama
Janmachi Phulwari,10.0,2022.0,120.0,"Spruha Joshi, Siddharth Chandekar","Family, Drama"
Aai,10.0,2020.0,135.0,"Medha Manjrekar, Priya Arun","Family, Drama"
Eternal Bond,8.1,2024.0,145.0,"Ranbir Kapoor, Shraddha Kapoor","Romance, Drama"
Rise of Heroes,7.9,2024.0,155.0,"Hrithik Roshan, Tiger Shroff","Action, Thriller"
Mystic Waters,8.5,2024.0,142.0,"Alia Bhatt, Vicky Kaushal","Fantasy, Drama"
Love in the City,7.3,2024.0,130.0,"Ayushmann Khurrana, Kriti Sanon","Romance, Comedy"
Shadows of Truth,8.7,2024.0,148.0,"Shah Rukh Khan, Taapsee Pannu","Thriller, Mystery"
Melody of Life,7.8,2024.0,140.0,"Kartik Aaryan, Kiara Advani","Musical, Drama"
Echoes of War,8.2,2024.0,165.0,"Akshay Kumar, Parineeti Chopra","War, Drama"
Beyond Time,8.0,2024.0,150.0,"Sidharth Malhotra, Yami Gautam","Sci-Fi, Romance"
The Last Wish,7.5,2024.0,135.0,"Radhika Apte, Rajkummar Rao","Drama, Fantasy"
Kingdom Reborn,8.4,2024.0,160.0,"Ranveer Singh, Deepika Padukone","Action, Historical"
Mirror of Fate,7.9,2024.0,145.0,"Vidya Balan, Abhishek Bachchan","Thriller, Drama"
Stardust Saga,8.3,2024.0,148.0,"Priyanka Chopra, John Abraham","Adventure, Drama"
New Horizons,7.6,2024.0,132.0,"Sunny Kaushal, Sara Ali Khan","Romance, Adventure"
Dark Secrets,8.1,2024.0,140.0,"Nawazuddin Siddiqui, Tabu","Thriller, Crime"
Chasing Dreams,7.4,2024.0,125.0,"Ananya Panday, Ishaan Khatter","Romance, Comedy"
The Forgotten Land,8.5,2024.0,155.0,"Aditya Roy Kapur, Janhvi Kapoor","Fantasy, Adventure"
Voices of the Heart,7.8,2024.0,142.0,"Bhumi Pednekar, Pankaj Tripathi","Drama, Musical"
Flames of Justice,8.2,2024.0,165.0,"Manoj Bajpayee, Raveena Tandon","Crime, Thriller"
The Rebel Prince,7.9,2024.0,150.0,"Shahid Kapoor, Kriti Sanon","Action, Drama"
Blossoms in the Rain,7.7,2024.0,140.0,"Taapsee Pannu, Vikrant Massey","Romance, Drama"
Shabdanchi Shraddha,8.5,2024.0,135.0,"Swwapnil Joshi, Mukta Barve",Drama
Gharichi Chhaya,7.8,2024.0,120.0,"Prarthana Behere, Lalit Prabhakar",Thriller
Surya Mangal,9.1,2024.0,150.0,"Amey Wagh, Sai Tamhankar",Historical
Hasne Ani Ashi,7.2,2024.0,110.0,"Vaibhav Tatwawadi, Sonalee Kulkarni",Comedy
Premachi Diary,8.0,2024.0,130.0,"Ankush Chaudhari, Tejashree Pradhan",Romance
Zenda Utha,8.3,2024.0,140.0,"Subodh Bhave, Neha Pendse",Political Drama
Ek Number,6.9,2024.0,105.0,"Siddharth Chandekar, Pooja Sawant",Action
Pahatechi Waat,8.7,2024.0,125.0,"Spruha Joshi, Jitendra Joshi",Mystery
Bhavartha,8.2,2024.0,115.0,"Priya Bapat, Umesh Kamat",Family Drama
Swarajya Sangram,9.0,2024.0,160.0,"Chinmay Mandlekar, Mrunmayee Deshpande",Historical Epic
The Lost Empire,8.4,2024.0,145.0,"Hrithik Roshan, Deepika Padukone",Adventure
Wild Horizon,7.9,2024.0,135.0,"Varun Dhawan, Alia Bhatt",Adventure
Expedition X,8.6,2024.0,160.0,"Akshay Kumar, Kareena Kapoor",Adventure
Jungle Quest,7.5,2024.0,125.0,"Shah Rukh Khan, Ananya Panday",Adventure
The Treasure Hunt,8.0,2024.0,155.0,"Aamir Khan, Kiara Advani",Adventure
Himalaya's Secret,8.2,2024.0,150.0,"Ranbir Kapoor, Kriti Sanon",Adventure
Ocean's Edge,7.8,2024.0,140.0,"Tiger Shroff, Shraddha Kapoor",Adventure
Quest of the Phantom Isles,9.0,2024.0,170.0,"Salman Khan, Disha Patani",Adventure
Lost in Time,7.6,2024.0,130.0,"Ayushmann Khurrana, Radhika Apte",Adventure
The Forbidden Island,8.3,2024.0,165.0,"Vicky Kaushal, Taapsee Pannu",Adventure
Premachi Goshta,8.2,2011.0,120.0,"Subodh Bhave, Mukta Barve",Romantic
Timepass,7.8,2010.0,130.0,"Priya Bapat, Laxmikant Berde",Romantic
Mee Shivajiraje Bhosale Boltoy,8.1,2009.0,135.0,"Sachin Khedekar, Medha Manjrekar",Romantic
Ha Khel Savlyan,7.5,2011.0,125.0,"Ankush Chaudhari, Sai Tamhankar",Romantic
Jogwa,8.0,2009.0,140.0,"Kishore Kadam, Sumati Jadhav",Romantic
Aayatya,7.9,2010.0,110.0,"Makarand Anaspure, Medha Manjrekar",Romantic
Natrang,8.3,2010.0,145.0,"Atul Kulkarni, Kshitee Jog",Romantic
Balak Palak,7.7,2010.0,120.0,"Subodh Bhave, Sandeep Pathak",Romantic
Uladhal,7.6,2010.0,125.0,"Sushant Shelar, Sayali Sanjeev",Romantic
Majha Gaav Majha Desh,7.8,2011.0,130.0,"Sanjay Jadhav, Medha Manjrekar",Romantic
Dilwale Dulhania Le Jayenge,8.9,2000.0,180.0,"Shah Rukh Khan, Kajol",Romantic
Kabhi Alvida Naa Kehna,7.5,2006.0,180.0,"Amitabh Bachchan, Shah Rukh Khan, Rani Mukerji",Romantic
Jab Tak Hai Jaan,7.7,2012.0,150.0,"Shah Rukh Khan, Katrina Kaif, Anushka Sharma",Romantic
Tanu Weds Manu,8.0,2011.0,125.0,"R. Madhavan, Kangana Ranaut",Romantic
Love Aaj Kal,7.4,2009.0,140.0,"Saif Ali Khan, Deepika Padukone",Romantic
Rockstar,7.8,2011.0,155.0,"Ranbir Kapoor, Nargis Fakhri",Romantic
Jab We Met,8.0,2007.0,140.0,"Shahid Kapoor, Kareena Kapoor",Romantic
Fanaa,7.9,2006.0,160.0,"Aamir Khan, Kajol",Romantic
Barfi!,8.1,2012.0,151.0,"Ranbir Kapoor, Priyanka Chopra",Romantic
Vivah,7.6,2006.0,150.0,"Shahid Kapoor, Amrita Rao",Romantic
My Name is Khan,8.0,2010.0,160.0,"Shah Rukh Khan, Kajol",Romantic
Singh is Kinng,6.9,2008.0,140.0,"Akshay Kumar, Katrina Kaif",Romantic
Hum Tum,7.3,2004.0,130.0,"Saif Ali Khan, Rani Mukerji",Romantic
Aashiqui 2,7.8,2012.0,136.0,"Aditya Roy Kapur, Shraddha Kapoor",Romantic
Dil Chahta Hai,8.1,2001.0,183.0,"Aamir Khan, Saif Ali Khan, Akshaye Khanna",Romantic
Sye Ra Narasimha Reddy,8.5,2020.0,170.0,"Chiranjeevi, Nayanthara, Amitabh Bachchan",Historical
Arjun Reddy,8.0,2017.0,150.0,"Vijay Deverakonda, Shalini Pandey",Romance/Drama
Baahubali: The Beginning,9.0,2015.0,159.0,"Prabhas, Rana Daggubati, Anushka Shetty",Action/Adventure
Ala Vaikunthapurramuloo,7.8,2020.0,150.0,"Allu Arjun, Pooja Hegde",Action/Romantic
Eega,8.4,2012.0,130.0,"Nani, Samantha Ruth Prabhu, Sudeep",Fantasy
Kshana Kshanam,7.9,1991.0,135.0,"Venkatesh, Revathi",Thriller/Drama
Magadheera,8.7,2009.0,156.0,"Ram Charan, Kajal Aggarwal",Action/Fantasy
Fidaa,7.7,2017.0,140.0,"Varun Tej, Sai Pallavi",Romance
Pelli Sandadi,7.4,1996.0,140.0,"Srikanth, Ravali",Romance
Srimanthudu,8.1,2015.0,150.0,"Mahesh Babu, Shruti Haasan",Drama/Action
Sarrainodu,7.5,2016.0,155.0,"Allu Arjun, Rakul Preet Singh",Action
Rangasthalam,8.3,2018.0,170.0,"Ram Charan, Samantha Ruth Prabhu",Drama/Action
Jalsa,7.6,2008.0,140.0,"Pawan Kalyan, Ileana D'Cruz",Action/Comedy
Kshana Kshanam,7.9,1991.0,135.0,"Venkatesh, Revathi",Thriller
The Last Horizon,10.0,2024.0,160.0,"Allu Arjun, Pooja Hegde","Action, Drama"
Warrior of the South,10.0,2024.0,155.0,"Jr NTR, Ramya Krishnan","Action, Thriller"
Chronicles of the Soul,10.0,2024.0,140.0,"Mahesh Babu, Keerthy Suresh","Drama, Fantasy"
Love Beyond Time,10.0,2024.0,145.0,"Chiranjeevi, Samantha Ruth Prabhu","Romance, Drama"
Rise of the Phoenix,10.0,2024.0,150.0,"Prabhas, Anushka Shetty","Historical, Action"
Secrets of the Depths,10.0,2024.0,130.0,"Ravi Teja, Rakul Preet Singh","Thriller, Mystery"
Destiny's Path,10.0,2024.0,165.0,"Pawan Kalyan, Shruti Haasan","Drama, Adventure"
The Kings Return,10.0,2024.0,155.0,"Ram Charan, Kajal Aggarwal","Action, Drama"
Flames of Fury,10.0,2024.0,148.0,"Vijay Deverakonda, Rashmika Mandanna","Action, Thriller"
Oceans Veil,10.0,2024.0,140.0,"Allu Arjun, Nithya Menen","Adventure, Drama"
Shadow of the Tiger,10.0,2024.0,153.0,"Nani, Sai Pallavi","Thriller, Action"
The Silent Warrior,10.0,2024.0,160.0,"Kalyan Ram, Nivetha Thomas","Action, Drama"
The Eternal Legacy,10.0,2024.0,145.0,"NTR Jr., Shruti Haasan","Drama, Action"
The Dream Catcher,10.0,2024.0,138.0,"Allu Arjun, Sree Leela","Romance, Thriller"
The Rebel's Heart,10.0,2024.0,150.0,"Vijay, Rashmika Mandanna","Action, Drama"
Time Travel Adventure,10.0,2024.0,140.0,"Prabhas, Tamannaah Bhatia","Sci-Fi, Drama"
Celestial Guardians,10.0,2024.0,155.0,"Ram Charan, Kriti Sanon","Fantasy, Action"
Echoes of Silence,10.0,2024.0,135.0,"Suriya, Nayanthara","Mystery, Drama"
The Glorious Return,10.0,2024.0,148.0,"Jr NTR, Pooja Hegde","Historical, Action"
Path of the Brave,10.0,2024.0,160.0,"Prabhas, Shruti Haasan","Action, Adventure"
Love in the Wild,8.8,2024.0,145.0,"Allu Arjun, Pooja Hegde","Romance, Adventure"
Dreaming in Paradise,8.6,2024.0,150.0,"Jr NTR, Keerthy Suresh","Romance, Adventure"
The Lost Heart,9.0,2024.0,142.0,"Mahesh Babu, Ananya Pandey","Romance, Adventure"
Wanderlust of Love,8.5,2024.0,135.0,"Chiranjeevi, Samantha Ruth Prabhu","Romance, Adventure"
A Journey to Forever,9.2,2024.0,160.0,"Prabhas, Shruti Haasan","Romance, Adventure"
A Walk Through Time,8.7,2024.0,148.0,"Ram Charan, Rakul Preet Singh","Romance, Adventure"
Heart of the Horizon,8.9,2024.0,153.0,"Vijay Deverakonda, Rashmika Mandanna","Romance, Adventure"
The Endless Dream,9.1,2024.0,140.0,"Ravi Teja, Nithya Menen","Romance, Adventure"
Lovers on the Run,8.4,2024.0,130.0,"Nani, Sai Pallavi","Romance, Adventure"
Into the Unknown,9.3,2024.0,155.0,"Allu Arjun, Sree Leela","Romance, Adventure"
Secrets of the Heart,8.6,2024.0,143.0,"NTR Jr., Shruti Haasan","Romance, Adventure"
Passionate Horizons,8.8,2024.0,150.0,"Prabhas, Tamannah Bhatia","Romance, Adventure"
Chasing Loves Light,8.5,2024.0,140.0,"Vijay, Rashmika Mandanna","Romance, Adventure"
Forever Together,9.0,2024.0,145.0,"Jr NTR, Pooja Hegde","Romance, Adventure"
Love Beyond the Horizon,8.7,2024.0,152.0,"Ram Charan, Kriti Sanon","Romance, Adventure"
Heartbeats Across Time,9.2,2024.0,157.0,"Mahesh Babu, Keerthy Suresh","Romance, Adventure"
A Tale of Two Hearts,8.9,2024.0,145.0,"Prabhas, Shruti Haasan","Romance, Adventure"
Adventures in Love,8.4,2024.0,139.0,"Ravi Teja, Anushka Shetty","Romance, Adventure"
Romance in the Wild,8.8,2024.0,148.0,"Nani, Sai Pallavi","Romance, Adventure"
Eternal Love Journey,9.1,2024.0,154.0,"Allu Arjun, Ananya Pandey","Romance, Adventure"
Lost in Love,4.8,2024.0,130.0,"Allu Arjun, Pooja Hegde","Romance, Drama"
Broken Heart Adventure,4.5,2024.0,142.0,"Jr NTR, Keerthy Suresh","Romance, Action"
The Forgotten Dream,4.2,2024.0,155.0,"Mahesh Babu, Ananya Pandey","Drama, Adventure"
Destruction of Love,4.6,2024.0,138.0,"Chiranjeevi, Rakul Preet Singh","Romance, Thriller"
The Distant Horizon,4.3,2024.0,150.0,"Prabhas, Shruti Haasan","Adventure, Drama"
Fading Hearts,4.7,2024.0,145.0,"Ram Charan, Samantha Ruth Prabhu","Romance, Drama"
Forgotten Paths,4.4,2024.0,140.0,"Vijay Deverakonda, Rashmika Mandanna","Adventure, Drama"
Lost in the Storm,4.1,2024.0,155.0,"Ravi Teja, Nithya Menen","Romance, Action"
Shadow of the Past,4.3,2024.0,145.0,"Nani, Sai Pallavi","Drama, Thriller"
Heart in the Dark,4.6,2024.0,130.0,"Allu Arjun, Sree Leela","Drama, Adventure"
The Silent Road,4.2,2024.0,140.0,"NTR Jr., Shruti Haasan","Drama, Romance"
Lost Time in Love,4.4,2024.0,138.0,"Prabhas, Tamannah Bhatia","Romance, Adventure"
Broken Wings,4.0,2024.0,150.0,"Vijay, Rashmika Mandanna","Drama, Thriller"
End of the Journey,4.7,2024.0,155.0,"Jr NTR, Pooja Hegde","Romance, Adventure"
A Journey to Nowhere,4.5,2024.0,148.0,"Ram Charan, Kriti Sanon","Romance, Drama"
Pieces of a Dream,4.8,2024.0,135.0,"Mahesh Babu, Keerthy Suresh","Drama, Romance"
The Broken Path,4.3,2024.0,160.0,"Prabhas, Shruti Haasan","Drama, Adventure"
Echoes of the Past,4.6,2024.0,150.0,"Ravi Teja, Anushka Shetty","Romance, Thriller"
A Love Left Behind,4.2,2024.0,145.0,"Nani, Sai Pallavi","Romance, Drama"
Wasted Time,4.4,2024.0,140.0,"Allu Arjun, Ananya Pandey","Romance, Action"
Love Lost in the Wild,4.2,2024.0,130.0,"Swapnil Joshi, Tejashri Pradhan","Romance, Adventure"
Forgotten Dreams,4.3,2024.0,140.0,"Ankush Chaudhari, Pooja Sawant","Romance, Adventure"
The Heart of Shadows,4.1,2024.0,135.0,"Sai Tamhankar, Vaibhav Mangle","Romance, Thriller"
Wanderlust and Love,4.4,2024.0,145.0,"Swwapnil Joshi, Subodh Bhave","Romance, Adventure"
The Path Less Taken,4.2,2024.0,150.0,"Sumati Pawar, Amol Kagne","Romance, Adventure"
Unspoken Love,4.0,2024.0,132.0,"Priya Bapat, Lalit Prabhakar","Romance, Adventure"
The Lost Dream,4.5,2024.0,140.0,"Pushkar Jog, Neha Joshi","Romance, Adventure"
A Journey Through Time,4.3,2024.0,148.0,"Adinath Kothare, Medha Manjrekar","Romance, Adventure"
The Silent Heart,4.6,2024.0,140.0,"Anjali Patil, Umesh Kamat","Romance, Adventure"
A Love So Far,4.1,2024.0,130.0,"Prarthana Behere, Nikhil Raj","Romance, Adventure"
Lost in the Wilderness,4.2,2024.0,155.0,"Hemant Dhome, Rucha Apte","Romance, Adventure"
Echoes of Forgotten Love,4.4,2024.0,145.0,"Amey Wagh, Pooja Sawant","Romance, Adventure"
Broken Dreams in the Wild,4.0,2024.0,140.0,"Anuja Sathe, Abhay Mahajan","Romance, Adventure"
Heart of the Journey,4.3,2024.0,150.0,"Pooja Pawar, Sanjay Narvekar","Romance, Adventure"
The Lost Heart,4.2,2024.0,137.0,"Prathamesh Parab, Tejashri Pradhan","Romance, Adventure"
Love's Final Chapter,4.5,2024.0,145.0,"Spruha Joshi, Sushant Shelar","Romance, Adventure"
The Forgotten Road,4.1,2024.0,138.0,"Medha Manjrekar, Anshuman Jha","Romance, Adventure"
A Step into the Past,4.4,2024.0,150.0,"Sachin Khedekar, Pooja Bhalekar","Romance, Adventure"
Time to Love,4.3,2024.0,145.0,"Vikram Gokhale, Neha Shitole","Romance, Adventure"
Chasing Forgotten Dreams,4.0,2024.0,140.0,"Amol Kolhe, Pranjal Shinde","Romance, Adventure"
